{'views': 15625684, 'danmu': 260726, 'coins': 435371, 'series_follow': 4470858, 'time': '2020-01-29-17:28:07'}
{'views': 15648620, 'danmu': 260882, 'coins': 435670, 'series_follow': 4471642, 'time': '2020-01-29-18:28:07'}
{'views': 15671912, 'danmu': 261054, 'coins': 435989, 'series_follow': 4472409, 'time': '2020-01-29-19:28:07'}
{'views': 15693898, 'danmu': 261254, 'coins': 436289, 'series_follow': 4473184, 'time': '2020-01-29-20:28:07'}
{'views': 15716011, 'danmu': 261481, 'coins': 436586, 'series_follow': 4473996, 'time': '2020-01-29-21:28:07'}
{'views': 15741287, 'danmu': 261762, 'coins': 436911, 'series_follow': 4474928, 'time': '2020-01-29-22:28:07'}
{'views': 15766878, 'danmu': 261963, 'coins': 437214, 'series_follow': 4476021, 'time': '2020-01-29-23:28:08'}
{'views': 15787655, 'danmu': 262119, 'coins': 437501, 'series_follow': 4476944, 'time': '2020-01-30-00:28:08'}
{'views': 15803716, 'danmu': 262258, 'coins': 437714, 'series_follow': 4477705, 'time': '2020-01-30-01:28:08'}
{'views': 15813089, 'danmu': 262337, 'coins': 437821, 'series_follow': 4478141, 'time': '2020-01-30-02:28:08'}
{'views': 15819522, 'danmu': 262423, 'coins': 437912, 'series_follow': 4478418, 'time': '2020-01-30-03:28:08'}
{'views': 15823481, 'danmu': 262454, 'coins': 437955, 'series_follow': 4478569, 'time': '2020-01-30-04:28:08'}
{'views': 15825657, 'danmu': 262468, 'coins': 437982, 'series_follow': 4478671, 'time': '2020-01-30-05:28:09'}
{'views': 15827162, 'danmu': 262475, 'coins': 438002, 'series_follow': 4478737, 'time': '2020-01-30-06:28:09'}
{'views': 15828753, 'danmu': 262480, 'coins': 438018, 'series_follow': 4478782, 'time': '2020-01-30-07:28:09'}
{'views': 15832186, 'danmu': 262488, 'coins': 438063, 'series_follow': 4478893, 'time': '2020-01-30-08:28:09'}
{'views': 15838774, 'danmu': 262526, 'coins': 438118, 'series_follow': 4479110, 'time': '2020-01-30-09:28:09'}
{'views': 15848749, 'danmu': 262599, 'coins': 438238, 'series_follow': 4479447, 'time': '2020-01-30-10:28:09'}
{'views': 15862570, 'danmu': 262728, 'coins': 438395, 'series_follow': 4479867, 'time': '2020-01-30-11:28:10'}
{'views': 15881078, 'danmu': 262885, 'coins': 438624, 'series_follow': 4480460, 'time': '2020-01-30-12:28:10'}
{'views': 15901876, 'danmu': 263102, 'coins': 438906, 'series_follow': 4481200, 'time': '2020-01-30-13:28:10'}
{'views': 15918507, 'danmu': 263258, 'coins': 439155, 'series_follow': 4481799, 'time': '2020-01-30-14:28:10'}
{'views': 15934863, 'danmu': 263423, 'coins': 439366, 'series_follow': 4482398, 'time': '2020-01-30-15:28:10'}
{'views': 15950171, 'danmu': 263576, 'coins': 439588, 'series_follow': 4482941, 'time': '2020-01-30-16:28:11'}
{'views': 15966566, 'danmu': 263730, 'coins': 439808, 'series_follow': 4483549, 'time': '2020-01-30-17:28:11'}
{'views': 15983359, 'danmu': 263880, 'coins': 439991, 'series_follow': 4484152, 'time': '2020-01-30-18:28:11'}
{'views': 16001084, 'danmu': 264016, 'coins': 440210, 'series_follow': 4484905, 'time': '2020-01-30-19:28:11'}
{'views': 16018640, 'danmu': 264210, 'coins': 440433, 'series_follow': 4485735, 'time': '2020-01-30-20:28:11'}
{'views': 16036640, 'danmu': 264383, 'coins': 440653, 'series_follow': 4486581, 'time': '2020-01-30-21:28:11'}
{'views': 16054959, 'danmu': 264587, 'coins': 440852, 'series_follow': 4487486, 'time': '2020-01-30-22:28:12'}
{'views': 16073848, 'danmu': 264788, 'coins': 441069, 'series_follow': 4488425, 'time': '2020-01-30-23:28:12'}
{'views': 16090881, 'danmu': 264913, 'coins': 441292, 'series_follow': 4489300, 'time': '2020-01-31-00:28:12'}
{'views': 16104882, 'danmu': 265018, 'coins': 441456, 'series_follow': 4489987, 'time': '2020-01-31-01:28:12'}
{'views': 16113418, 'danmu': 265080, 'coins': 441575, 'series_follow': 4490402, 'time': '2020-01-31-02:28:12'}
{'views': 16118892, 'danmu': 265134, 'coins': 441658, 'series_follow': 4490699, 'time': '2020-01-31-03:28:13'}
{'views': 16122192, 'danmu': 265161, 'coins': 441693, 'series_follow': 4490875, 'time': '2020-01-31-04:28:13'}
{'views': 16124079, 'danmu': 265169, 'coins': 441715, 'series_follow': 4490973, 'time': '2020-01-31-05:28:13'}
{'views': 16125675, 'danmu': 265180, 'coins': 441736, 'series_follow': 4491040, 'time': '2020-01-31-06:28:13'}
{'views': 16127405, 'danmu': 265194, 'coins': 441754, 'series_follow': 4491112, 'time': '2020-01-31-07:28:13'}
{'views': 16130699, 'danmu': 265204, 'coins': 441786, 'series_follow': 4491241, 'time': '2020-01-31-08:28:13'}
{'views': 16137341, 'danmu': 265232, 'coins': 441875, 'series_follow': 4491555, 'time': '2020-01-31-09:28:14'}
{'views': 16146756, 'danmu': 265263, 'coins': 441980, 'series_follow': 4491958, 'time': '2020-01-31-10:28:14'}
{'views': 16159359, 'danmu': 265339, 'coins': 442155, 'series_follow': 4492463, 'time': '2020-01-31-11:28:14'}
{'views': 16173543, 'danmu': 265447, 'coins': 442346, 'series_follow': 4493071, 'time': '2020-01-31-12:28:14'}
{'views': 16189558, 'danmu': 265556, 'coins': 442533, 'series_follow': 4493703, 'time': '2020-01-31-13:28:14'}
{'views': 16204432, 'danmu': 265637, 'coins': 442735, 'series_follow': 4494288, 'time': '2020-01-31-14:28:14'}
{'views': 16218474, 'danmu': 265763, 'coins': 442941, 'series_follow': 4494847, 'time': '2020-01-31-15:28:15'}
{'views': 16233125, 'danmu': 265900, 'coins': 443122, 'series_follow': 4495467, 'time': '2020-01-31-16:28:15'}
{'views': 16248605, 'danmu': 266055, 'coins': 443310, 'series_follow': 4496098, 'time': '2020-01-31-17:28:15'}
{'views': 16266397, 'danmu': 266176, 'coins': 443524, 'series_follow': 4496875, 'time': '2020-01-31-18:28:15'}
{'views': 16284146, 'danmu': 266318, 'coins': 443733, 'series_follow': 4497689, 'time': '2020-01-31-19:28:15'}
{'views': 16300421, 'danmu': 266470, 'coins': 443926, 'series_follow': 4498398, 'time': '2020-01-31-20:28:16'}
{'views': 16317798, 'danmu': 266645, 'coins': 444137, 'series_follow': 4499184, 'time': '2020-01-31-21:28:16'}
{'views': 16335228, 'danmu': 266801, 'coins': 444307, 'series_follow': 4500134, 'time': '2020-01-31-22:28:16'}
{'views': 16354433, 'danmu': 266969, 'coins': 444548, 'series_follow': 4501053, 'time': '2020-01-31-23:28:16'}
{'views': 16462884, 'danmu': 273513, 'coins': 446777, 'series_follow': 4502093, 'time': '2020-02-01-00:28:16'}
{'views': 16633187, 'danmu': 279766, 'coins': 450639, 'series_follow': 4503222, 'time': '2020-02-01-01:28:16'}
{'views': 16716147, 'danmu': 281507, 'coins': 452179, 'series_follow': 4504005, 'time': '2020-02-01-02:28:17'}
