nohup: ignoring input
{'coins': 435371, 'danmakus': 260726, 'follow': 4248840, 'series_follow': 4470858, 'views': 15625684}
{'coins': 435670, 'danmakus': 260882, 'follow': 4249393, 'series_follow': 4471642, 'views': 15648620}
{'coins': 435989, 'danmakus': 261054, 'follow': 4249938, 'series_follow': 4472409, 'views': 15671912}
{'coins': 436289, 'danmakus': 261254, 'follow': 4250493, 'series_follow': 4473184, 'views': 15693898}
{'coins': 436586, 'danmakus': 261481, 'follow': 4251040, 'series_follow': 4473996, 'views': 15716011}
{'coins': 436911, 'danmakus': 261762, 'follow': 4251709, 'series_follow': 4474928, 'views': 15741287}
{'coins': 437214, 'danmakus': 261963, 'follow': 4252526, 'series_follow': 4476021, 'views': 15766878}
{'coins': 437501, 'danmakus': 262119, 'follow': 4253193, 'series_follow': 4476944, 'views': 15787655}
{'coins': 437714, 'danmakus': 262258, 'follow': 4253722, 'series_follow': 4477705, 'views': 15803716}
{'coins': 437821, 'danmakus': 262337, 'follow': 4254016, 'series_follow': 4478141, 'views': 15813089}
{'coins': 437912, 'danmakus': 262423, 'follow': 4254232, 'series_follow': 4478418, 'views': 15819522}
{'coins': 437955, 'danmakus': 262454, 'follow': 4254342, 'series_follow': 4478569, 'views': 15823481}
{'coins': 437982, 'danmakus': 262468, 'follow': 4254418, 'series_follow': 4478671, 'views': 15825657}
{'coins': 438002, 'danmakus': 262475, 'follow': 4254469, 'series_follow': 4478737, 'views': 15827162}
{'coins': 438018, 'danmakus': 262480, 'follow': 4254503, 'series_follow': 4478782, 'views': 15828753}
{'coins': 438063, 'danmakus': 262488, 'follow': 4254578, 'series_follow': 4478893, 'views': 15832186}
{'coins': 438118, 'danmakus': 262526, 'follow': 4254726, 'series_follow': 4479110, 'views': 15838774}
{'coins': 438238, 'danmakus': 262599, 'follow': 4254962, 'series_follow': 4479447, 'views': 15848749}
{'coins': 438395, 'danmakus': 262728, 'follow': 4255302, 'series_follow': 4479867, 'views': 15862570}
{'coins': 438624, 'danmakus': 262885, 'follow': 4255719, 'series_follow': 4480460, 'views': 15881078}
{'coins': 438906, 'danmakus': 263102, 'follow': 4256226, 'series_follow': 4481200, 'views': 15901876}
{'coins': 439155, 'danmakus': 263258, 'follow': 4256636, 'series_follow': 4481799, 'views': 15918507}
{'coins': 439366, 'danmakus': 263423, 'follow': 4257057, 'series_follow': 4482398, 'views': 15934863}
{'coins': 439588, 'danmakus': 263576, 'follow': 4257405, 'series_follow': 4482941, 'views': 15950171}
{'coins': 439808, 'danmakus': 263730, 'follow': 4257830, 'series_follow': 4483549, 'views': 15966566}
{'coins': 439991, 'danmakus': 263880, 'follow': 4258213, 'series_follow': 4484152, 'views': 15983359}
{'coins': 440210, 'danmakus': 264016, 'follow': 4258696, 'series_follow': 4484905, 'views': 16001084}
{'coins': 440433, 'danmakus': 264210, 'follow': 4259210, 'series_follow': 4485735, 'views': 16018640}
{'coins': 440653, 'danmakus': 264383, 'follow': 4259719, 'series_follow': 4486581, 'views': 16036640}
{'coins': 440852, 'danmakus': 264587, 'follow': 4260240, 'series_follow': 4487486, 'views': 16054959}
{'coins': 441069, 'danmakus': 264788, 'follow': 4260820, 'series_follow': 4488425, 'views': 16073848}
{'coins': 441292, 'danmakus': 264913, 'follow': 4261380, 'series_follow': 4489300, 'views': 16090881}
{'coins': 441456, 'danmakus': 265018, 'follow': 4261797, 'series_follow': 4489987, 'views': 16104882}
